file,line,member,px,has_bind,verdict,source,reason
"AboutDialog.cpp","313","m_logo","","no","data","m_logo_bitmap.bmp()",""
"AMSDryControl.cpp","114","m_icon_bitmap","","no","glyph","wxNullBitmap",""
"AMSDryControl.cpp","296","m_humidity_img","","no","data","wxNullBitmap",""
"AMSDryControl.cpp","304","m_image_description_icon","","no","glyph","wxNullBitmap",""
"AMSDryControl.cpp","720","m_image_placeholder","","no","data","wxNullBitmap",""
"AmsMappingPopup.cpp","1572","img_enable_ams","118","no","data","create_scaled_bitmap(""monitor_upgrade_ams"", this, 108)",""
"AmsMappingPopup.cpp","1608","img_disable_ams","109","no","data","create_scaled_bitmap(""disable_ams_demo_icon"", this, 95)",""
"AmsMappingPopup.cpp","1657","curr_humidity_img","132","no","data","create_scaled_bitmap(""hum_level1_light"", this, 132)",""
"AmsMappingPopup.cpp","1804","img_top","50","no","data","create_scaled_bitmap(""ams_item_examples"", this, 30)",""
"AmsMappingPopup.cpp","1818","arrows_top","24","no","unclassified","arrow_top_bmp",""
"AmsMappingPopup.cpp","1837","arrows_bottom","24","no","unclassified","arrow_bottom_bmp",""
"AmsMappingPopup.cpp","1856","img_middle","50","no","data","create_scaled_bitmap(""ams_item_examples"", this, 30)",""
"AmsMappingPopup.cpp","1871","img_botton","","no","data","create_scaled_bitmap(""ams_mapping_examples"", this, 87)",""
"AmsMappingPopup.cpp","1921","m_img_enable_ams","","no","data","create_scaled_bitmap(""monitor_upgrade_ams"", this, FromDIP(140))",""
"AmsMappingPopup.cpp","1922","m_img_disable_ams","","no","data","create_scaled_bitmap(""disable_ams_demo_icon"", this, FromDIP(110))",""
"AmsMappingPopup.cpp","2661","m_icon","","no","glyph","wxNullBitmap",""
"AMSMaterialsSetting.cpp","298","bitmap_max_degree","","no","glyph","degree->bmp()",""
"AMSMaterialsSetting.cpp","299","bitmap_min_degree","","no","glyph","degree->bmp()",""
"AMSSetting.cpp","249","m_am_img","","no","data","create_scaled_bitmap(""ams_icon"", nullptr, 126)",""
"BaseTransparentDPIFrame.cpp","50","completedimg","","no","data","create_scaled_bitmap(icon_name, this, 25)",""
"BindDialog.cpp","387","m_printer_img","120","no","data","create_scaled_bitmap(""printer_thumbnail"", nullptr, FromDIP(100))",""
"BindDialog.cpp","404","","34","no","unclassified","m_bind_icon",""
"BindDialog.cpp","417","m_avatar","60","no","unclassified","wxNullBitmap",""
"BindDialog.cpp","997","m_printer_img","120","no","data","create_scaled_bitmap(""printer_thumbnail"", nullptr, FromDIP(100))",""
"BindDialog.cpp","1014","","36","no","unclassified","m_bind_icon",""
"BindDialog.cpp","1027","m_avatar","60","no","unclassified","wxNullBitmap",""
"BulkFilamentDialog.cpp","100","bmp","","no","unclassified","*swatch",""
"CalibrationWizardPage.cpp","263","m_nozzle_bmp","","no","data","create_scaled_bitmap(""cali_nozzle"", this, 20)",""
"CalibrationWizardPage.cpp","618","m_img","","no","data","wxNullBitmap",""
"CalibrationWizardPage.cpp","687","m_img","","no","data","wxNullBitmap",""
"CalibrationWizardStartPage.cpp","43","m_before_bmp","","no","glyph","wxNullBitmap",""
"CalibrationWizardStartPage.cpp","46","m_after_bmp","","no","glyph","wxNullBitmap",""
"CalibrationWizardStartPage.cpp","67","m_bmp_intro","","no","glyph","wxNullBitmap",""
